Intensity,Method,Single_Acc,TTA_Acc,Consistency
low,LDA,0.8096,0.7985,0.83635
low,SVM,0.843,0.82,0.81766
medium,LDA,0.8096,0.7802,0.7277
medium,SVM,0.843,0.7913,0.6797000000000001
high,LDA,0.8096,0.5689,0.4242499999999999
high,SVM,0.843,0.5679,0.36534
